"ID";"RegioS";"Eigendom";"Perioden";"GemiddeldeWOZWaardeVanWoningen_1"
"399";"PV31  ";"A047047";"2022JJ00";"     153"
"400";"PV31  ";"A047047";"2023JJ00";"     182"
"401";"PV31  ";"A047047";"2024JJ00";"       ."
"402";"PV31  ";"A047048";"2019JJ00";"     173"
"403";"PV31  ";"A047048";"2020JJ00";"     184"
"404";"PV31  ";"A047048";"2021JJ00";"     190"
"405";"PV31  ";"A047048";"2022JJ00";"     203"
"406";"PV31  ";"A047048";"2023JJ00";"     233"
"407";"PV31  ";"A047048";"2024JJ00";"       ."
"408";"CR01  ";"T001132";"2019JJ00";"     157"
"409";"CR01  ";"T001132";"2020JJ00";"     166"
"410";"CR01  ";"T001132";"2021JJ00";"     180"
"411";"CR01  ";"T001132";"2022JJ00";"     203"
"412";"CR01  ";"T001132";"2023JJ00";"     240"
"413";"CR01  ";"T001132";"2024JJ00";"     255"
"414";"CR01  ";"1014800";"2019JJ00";"     182"
"415";"CR01  ";"1014800";"2020JJ00";"     194"
"416";"CR01  ";"1014800";"2021JJ00";"     211"
"417";"CR01  ";"1014800";"2022JJ00";"     238"
"418";"CR01  ";"1014800";"2023JJ00";"     282"
"419";"CR01  ";"1014800";"2024JJ00";"       ."
"420";"CR01  ";"A047047";"2019JJ00";"      99"
"421";"CR01  ";"A047047";"2020JJ00";"     104"
"422";"CR01  ";"A047047";"2021JJ00";"     111"
"423";"CR01  ";"A047047";"2022JJ00";"     126"
"424";"CR01  ";"A047047";"2023JJ00";"     151"
"425";"CR01  ";"A047047";"2024JJ00";"       ."
"426";"CR01  ";"A047048";"2019JJ00";"     142"
"427";"CR01  ";"A047048";"2020JJ00";"     147"
"428";"CR01  ";"A047048";"2021JJ00";"     156"
"429";"CR01  ";"A047048";"2022JJ00";"     171"
"430";"CR01  ";"A047048";"2023JJ00";"     196"
"431";"CR01  ";"A047048";"2024JJ00";"       ."
"432";"CR02  ";"T001132";"2019JJ00";"     140"
"433";"CR02  ";"T001132";"2020JJ00";"     150"
"434";"CR02  ";"T001132";"2021JJ00";"     165"
"435";"CR02  ";"T001132";"2022JJ00";"     182"
"436";"CR02  ";"T001132";"2023JJ00";"     213"
"437";"CR02  ";"T001132";"2024JJ00";"     229"
"438";"CR02  ";"1014800";"2019JJ00";"     167"
"439";"CR02  ";"1014800";"2020JJ00";"     178"
"440";"CR02  ";"1014800";"2021JJ00";"     197"
"441";"CR02  ";"1014800";"2022JJ00";"     218"
"442";"CR02  ";"1014800";"2023JJ00";"     254"
"443";"CR02  ";"1014800";"2024JJ00";"       ."
"444";"CR02  ";"A047047";"2019JJ00";"      98"
"445";"CR02  ";"A047047";"2020JJ00";"     104"
"446";"CR02  ";"A047047";"2021JJ00";"     115"
"447";"CR02  ";"A047047";"2022JJ00";"     129"
"448";"CR02  ";"A047047";"2023JJ00";"     157"
"449";"CR02  ";"A047047";"2024JJ00";"       ."
"450";"CR02  ";"A047048";"2019JJ00";"     119"
"451";"CR02  ";"A047048";"2020JJ00";"     126"
"452";"CR02  ";"A047048";"2021JJ00";"     135"
"453";"CR02  ";"A047048";"2022JJ00";"     140"
"454";"CR02  ";"A047048";"2023JJ00";"     165"
"455";"CR02  ";"A047048";"2024JJ00";"       ."
"456";"CR03  ";"T001132";"2019JJ00";"     189"
"457";"CR03  ";"T001132";"2020JJ00";"     202"
"458";"CR03  ";"T001132";"2021JJ00";"     218"
"459";"CR03  ";"T001132";"2022JJ00";"     242"
"460";"CR03  ";"T001132";"2023JJ00";"     283"
"461";"CR03  ";"T001132";"2024JJ00";"     293"
"462";"CR03  ";"1014800";"2019JJ00";"     235"
"463";"CR03  ";"1014800";"2020JJ00";"     252"
